"","Station","LAT","ELEV","Date","SWE_man","SWE_aut","TAVG","TMIN","TMAX","PRCP","CHILI"
"1","RME",43.06,2060,1988-10-01,NA,0,14.5478268830673,8.80001220703127,22.3000122070313,0,122
"2","RME",43.06,2060,1988-10-02,NA,0,15.7625010172526,9.9999938964844,23.3000122070313,0,122
"3","RME",43.06,2060,1988-10-03,NA,0,16.6,10.7000061035156,23.3000122070313,0,122
"4","RME",43.06,2060,1988-10-04,NA,0,16.7749992370606,11.6,23.8000122070313,0,122
"5","RME",43.06,2060,1988-10-05,NA,0,13.5624989827474,8.4999938964844,20.4999938964844,0,122
"6","RME",43.06,2060,1988-10-06,NA,0,14.9333358764649,9.30001220703127,22.2000061035156,0,122
"7","RME",43.06,2060,1988-10-07,NA,0,13.9458353678386,8.4999938964844,20.9999938964844,0,122
"8","RME",43.06,2060,1988-10-08,NA,0,14.3791646321615,8.89998779296877,20.9999938964844,0,122
"9","RME",43.06,2060,1988-10-09,NA,0,13.1916646321615,8.89998779296877,19.9999938964844,0,122
"10","RME",43.06,2060,1988-10-10,NA,0,11.9374989827474,8.4999938964844,16.7000061035156,0,122
"11","RME",43.06,2060,1988-10-11,NA,0,13.3333348592123,9.39998779296877,18.8999877929688,0,122
"12","RME",43.06,2060,1988-10-12,NA,0,10.2916669209798,5.30001220703127,15.8000122070313,0,122
"13","RME",43.06,2060,1988-10-13,NA,0,10.8666664123535,6.4999938964844,17.3999877929688,0,122
"14","RME",43.06,2060,1988-10-14,NA,0,8.65416615804039,4.70000610351565,12.3000122070313,0,122
"15","RME",43.06,2060,1988-10-15,NA,0,9.59999872843427,5.4999938964844,13.9999938964844,0,122
"16","RME",43.06,2060,1988-10-16,NA,0,12.2500002543132,7.9999938964844,16.6,0,122
"17","RME",43.06,2060,1988-10-17,NA,0,10.2666653951009,6.4999938964844,15.6,0,122
"18","RME",43.06,2060,1988-10-18,NA,0,12.0958330790202,6.30001220703127,18.7000061035156,0,122
"19","RME",43.06,2060,1988-10-19,NA,0,7.76249974568687,3.80001220703127,12.3999877929688,0,122
"20","RME",43.06,2060,1988-10-20,NA,0,8.44166463216148,3.39998779296877,17.2000061035156,0,122
"21","RME",43.06,2060,1988-10-21,NA,0,12.6625025431315,6.89998779296877,19.8000122070313,0,122
"22","RME",43.06,2060,1988-10-22,NA,0,8.46250050862633,3.30001220703127,13.8999877929688,0,122
"23","RME",43.06,2060,1988-10-23,NA,0,8.20000356038414,2.30001220703127,15.6,0,122
"24","RME",43.06,2060,1988-10-24,NA,0,9.9333320617676,5.9999938964844,16.2000061035156,0,122
"25","RME",43.06,2060,1988-10-25,NA,0,11.5875017801921,4.70000610351565,19.3999877929688,0,122
"26","RME",43.06,2060,1988-10-26,NA,0,10.5916687011719,6.60000000000002,14.2000061035156,0,122
"27","RME",43.06,2060,1988-10-27,NA,0,4.17499821980797,-3.29999389648435,12.2000061035156,0,122
"28","RME",43.06,2060,1988-10-28,NA,0,8.12083333333336,3.89998779296877,13.8000122070313,0,122
"29","RME",43.06,2060,1988-10-29,NA,0,8.00416717529299,4.10000000000002,14.4999938964844,0,122
"30","RME",43.06,2060,1988-10-30,NA,0,8.85000254313153,4.30001220703127,15.3999877929688,0,122
"31","RME",43.06,2060,1988-10-31,NA,0,11.0750022888184,3.20000610351565,18.3000122070313,0,122
"32","RME",43.06,2060,1988-11-01,0,0,9.93750025431317,6.60000000000002,13.2000061035156,0,122
"33","RME",43.06,2060,1988-11-02,NA,0,3.34167124430341,2.10000000000002,6.10000000000002,29.2000001216365,122
"34","RME",43.06,2060,1988-11-03,NA,0,3.41666310628257,2.30001220703127,4.9999938964844,0.799999995797407,122
"35","RME",43.06,2060,1988-11-04,NA,0,2.04999694824221,0.300012207031273,3.89998779296877,1.40000000901637,122
"36","RME",43.06,2060,1988-11-05,NA,0,6.93333460489911,1.10000000000002,11.6,0,122
"37","RME",43.06,2060,1988-11-06,NA,0.666666666666667,0.733333841959658,-3.10001220703123,10.2000061035156,6.39999999912106,122
"38","RME",43.06,2060,1988-11-07,NA,2.875,-3.27916819254555,-7.10001220703123,0.300012207031273,8.79999999306165,122
"39","RME",43.06,2060,1988-11-08,NA,11.9583333333333,-3.09583511352537,-6.60001220703123,-1.0000061035156,6.20000018025166,122
"40","RME",43.06,2060,1988-11-09,NA,14.625,-3.29166514078774,-6.69998779296873,-0.600012207031227,1.60000004398171,122
"41","RME",43.06,2060,1988-11-10,NA,30.5416666666667,-0.458336893717425,-1.5000061035156,0.999993896484398,25.5000002442102,122
